0	0.94575	2.63887	2.27311	2.26283	2.05358	4.40435	3.51244	8.28167	8.02401	8.21803	7.96376	5.93454	6.03454	6.13437	
0.94575	0	3.38896	2.45948	1.31708	1.10783	3.4586	2.56669	7.60998	7.43702	7.63104	7.37677	4.98879	5.08879	5.18862	
2.63887	3.38896	0	1.131	4.70604	4.49679	6.84756	5.95565	10.7249	9.9077	9.42296	9.28637	8.37775	8.47775	8.57758	
2.27311	2.45948	1.131	0	3.6764	3.38637	5.73714	4.89747	10.0695	9.8965	10.0905	9.83625	7.26733	7.36733	7.46716	
2.26283	1.31708	4.70604	3.6764	0	1.31877	2.14152	1.24961	6.39306	6.2201	6.41412	6.15985	3.67171	3.77171	3.87154	
2.05358	1.10783	4.49679	3.38637	1.31877	0	2.35077	1.74182	6.91381	6.74085	6.93487	6.6806	3.88096	3.98096	4.08079	
4.40435	3.4586	6.84756	5.73714	2.14152	2.35077	0	0.89191	5.0781	4.90514	5.36376	4.84489	1.53513	1.63019	1.73002	
3.51244	2.56669	5.95565	4.89747	1.24961	1.74182	0.89191	0	5.17199	4.99903	5.19305	4.93878	2.4221	2.5221	2.62193	
8.28167	7.60998	10.7249	10.0695	6.39306	6.91381	5.0781	5.17199	0	0.817185	2.31054	1.43851	3.54297	3.74287	4.34198	
8.02401	7.43702	9.9077	9.8965	6.2201	6.74085	4.90514	4.99903	0.817185	0	1.70714	0.621329	3.37001	3.65709	4.16902	
8.21803	7.63104	9.42296	10.0905	6.41412	6.93487	5.36376	5.19305	2.31054	1.70714	0	1.12375	4.72529	5.22529	5.72446	
7.96376	7.37677	9.28637	9.83625	6.15985	6.6806	4.84489	4.93878	1.43851	0.621329	1.12375	0	3.65838	4.15838	4.65755	
5.93454	4.98879	8.37775	7.26733	3.67171	3.88096	1.53513	2.4221	3.54297	3.37001	4.72529	3.65838	0	0.7	1.19917	
6.03454	5.08879	8.47775	7.36733	3.77171	3.98096	1.63019	2.5221	3.74287	3.65709	5.22529	4.15838	0.7	0	0.59911	
6.13437	5.18862	8.57758	7.46716	3.87154	4.08079	1.73002	2.62193	4.34198	4.16902	5.72446	4.65755	1.19917	0.59911	0	
