0	8	9	11	
15	16	17	19	
0	1	5	7	
0	8	12	13	
0	8	12	14	
15	16	20	21	
15	16	17	18	
0	8	12	14	
0	8	12	14	
15	16	17	19	
15	16	20	22	
0	1	2	4	
0	1	2	4	
0	8	12	14	
0	8	12	14	
15	16	20	22	
0	8	9	11	
0	1	2	4	
15	16	17	18	
0	8	12	14	
15	16	17	18	
15	16	17	18	
15	16	20	22	
0	1	2	4	
0	1	5	6	
0	1	2	3	
0	1	2	4	
0	1	2	3	
15	16	17	19	
0	8	9	11	
15	16	17	19	
0	1	5	6	
0	1	5	7	
0	8	12	13	
15	16	17	18	
15	16	17	18	
0	8	12	13	
15	16	20	22	
0	8	9	10	
15	16	20	22	
0	8	9	11	
0	1	2	3	
15	16	17	18	
0	1	2	3	
0	8	9	11	
15	23	25	26	
15	16	17	18	
0	1	2	3	
15	16	17	18	
0	1	2	3	
0	8	12	14	
15	16	20	22	
0	8	9	11	
0	8	9	10	
0	8	9	11	
15	16	17	18	
15	16	17	19	
0	8	12	14	
0	8	12	14	
0	8	9	10	
15	16	20	22	
15	16	20	22	
15	16	17	19	
0	8	9	11	
0	8	9	10	
0	8	12	13	
0	8	9	10	
15	16	17	19	
15	16	17	18	
0	1	2	4	
0	8	9	10	
0	8	9	11	
0	1	2	3	
0	1	2	3	
0	8	12	13	
0	1	5	7	
15	16	17	18	
15	16	17	19	
0	8	12	13	
15	16	20	21	
0	8	12	13	
15	16	20	22	
0	1	5	7	
0	8	9	10	
0	1	2	3	
0	8	12	14	
15	16	20	21	
0	1	2	3	
0	8	9	10	
0	1	2	4	
0	8	9	10	
0	8	9	11	
15	16	17	19	
0	8	12	14	
0	8	9	10	
15	23	25	27	
0	8	9	10	
0	8	9	11	
0	8	9	10	
0	8	12	13	
15	16	17	18	
0	8	9	11	
15	16	17	18	
15	16	17	18	
0	1	5	7	
0	1	2	3	
0	1	5	7	
0	8	9	10	
15	16	17	19	
15	23	25	26	
15	16	20	22	
15	16	20	22	
0	8	12	13	
0	8	9	10	
15	16	17	18	
0	1	2	4	
0	8	9	10	
15	16	17	18	
15	16	17	19	
15	16	20	22	
15	16	17	19	
0	1	5	6	
0	8	12	13	
15	16	17	19	
15	23	24	
0	8	9	11	
0	8	9	10	
0	8	9	11	
0	1	2	3	
0	8	9	10	
0	8	12	14	
0	1	2	3	
0	8	9	11	
0	1	2	3	
0	1	2	3	
0	8	12	13	
0	1	5	7	
0	1	2	3	
0	8	12	13	
0	1	2	3	
15	16	20	22	
15	16	20	22	
15	16	17	19	
0	8	12	14	
0	1	2	4	
0	8	12	14	
0	1	2	4	
15	16	17	19	
15	16	17	19	
0	8	9	11	
0	8	9	11	
15	16	17	19	
0	1	5	7	
0	8	12	13	
0	8	12	14	
15	16	20	21	
15	16	17	18	
0	8	12	14	
0	8	12	14	
15	16	17	19	
15	16	20	22	
0	1	2	4	
0	1	2	4	
0	8	12	14	
0	8	12	14	
15	16	20	22	
0	8	9	11	
0	1	2	4	
15	16	17	18	
0	8	12	14	
15	16	17	18	
15	16	17	18	
15	16	20	22	
0	1	2	4	
0	1	5	6	
0	1	2	3	
0	1	2	4	
0	1	2	3	
15	16	17	19	
0	8	9	11	
15	16	17	19	
0	1	5	6	
0	1	5	7	
0	8	9	11	
15	16	17	19	
0	1	5	7	
0	8	12	13	
0	8	12	14	
15	16	20	21	
15	16	17	18	
0	8	12	14	
0	8	12	14	
15	16	17	19	
15	16	20	22	
0	1	2	4	
0	1	2	4	
0	8	12	14	
0	8	12	14	
15	16	20	22	
0	8	9	11	
0	1	2	4	
15	16	17	18	
0	8	12	14	
15	16	17	18	
15	16	17	18	
15	16	20	22	
0	1	2	4	
0	1	5	6	
0	1	2	3	
0	1	2	4	
0	1	2	3	
15	16	17	19	
0	8	9	11	
15	16	17	19	
0	1	5	6	
0	1	5	7	
0	8	12	13	
15	16	17	18	
15	16	17	18	
0	8	12	13	
15	16	20	22	
0	8	9	10	
15	16	20	22	
0	8	9	11	
0	1	2	3	
15	16	17	18	
0	1	2	3	
0	8	9	11	
15	23	25	26	
15	16	17	18	
0	1	2	3	
15	16	17	18	
0	1	2	3	
0	8	12	14	
15	16	20	22	
0	8	9	11	
0	8	9	10	
0	8	9	11	
15	16	17	18	
15	16	17	19	
0	8	12	14	
0	8	12	14	
0	8	9	10	
15	16	20	22	
15	16	20	22	
15	16	17	19	
0	8	9	11	
0	8	9	10	
0	8	12	13	
0	8	9	10	
15	16	17	19	
15	16	17	18	
0	1	2	4	
0	8	9	10	
0	8	9	11	
0	1	2	3	
0	1	2	3	
0	8	12	13	
0	1	5	7	
15	16	17	18	
15	16	17	19	
0	8	12	13	
15	16	20	21	
0	8	12	13	
15	16	20	22	
0	1	5	7	
0	8	9	10	
0	1	2	3	
0	8	12	14	
15	16	20	21	
0	1	2	3	
0	8	9	10	
0	1	2	4	
0	8	9	10	
0	8	9	11	
15	16	17	19	
0	8	12	14	
0	8	9	10	
15	23	25	27	
0	8	9	10	
0	8	9	11	
0	8	9	10	
0	8	12	13	
15	16	17	18	
0	8	9	11	
15	16	17	18	
15	16	17	18	
0	1	5	7	
0	1	2	3	
0	1	5	7	
0	8	9	10	
15	16	17	19	
15	23	25	26	
15	16	20	22	
15	16	20	22	
0	8	12	13	
0	8	9	10	
15	16	17	18	
